departure_time,file_name,journey_pattern_ref,journey_ticket_machine_code,line_ref,operator_ref,service_ref,vehicle_journey_code
07:25:00,404-21-404-_-y05-2_1.xml,JP15,6,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ157
07:40:00,404-21-404-_-y05-2_1.xml,JP11,3,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ158
07:55:00,404-21-404-_-y05-2_1.xml,JP15,8,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ159
08:10:00,404-21-404-_-y05-2_1.xml,JP12,5,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ160
08:25:00,404-21-404-_-y05-2_1.xml,JP16,10,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ161
08:40:00,404-21-404-_-y05-2_1.xml,JP13,7,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ162
08:55:00,404-21-404-_-y05-2_1.xml,JP16,12,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ163
09:10:00,404-21-404-_-y05-2_1.xml,JP3,9,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ164
09:25:00,404-21-404-_-y05-2_1.xml,JP7,14,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ165
09:40:00,404-21-404-_-y05-2_1.xml,JP3,11,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ166
09:55:00,404-21-404-_-y05-2_1.xml,JP7,16,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ167
10:10:00,404-21-404-_-y05-2_1.xml,JP3,13,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ168
10:25:00,404-21-404-_-y05-2_1.xml,JP7,18,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ169
10:40:00,404-21-404-_-y05-2_1.xml,JP3,15,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ170
10:55:00,404-21-404-_-y05-2_1.xml,JP7,20,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ171
11:10:00,404-21-404-_-y05-2_1.xml,JP3,17,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ172
11:25:00,404-21-404-_-y05-2_1.xml,JP7,22,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ173
11:40:00,404-21-404-_-y05-2_1.xml,JP3,19,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ174
11:55:00,404-21-404-_-y05-2_1.xml,JP7,24,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ175
12:10:00,404-21-404-_-y05-2_1.xml,JP3,21,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ176
12:25:00,404-21-404-_-y05-2_1.xml,JP7,26,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ177
